City,Country,Latitude,Longitude,Population
oshakan,am,40.2705556,44.2691667,4768
paravakar,am,40.9805556,45.3991667,1637
pemzashen,am,40.5933333,43.94,2436
pokr mantash,am,40.65,44.05,1838
proshyan,am,40.2480556,44.415,4333
pshatavan,am,40.0405556,44.0675,2159
ptghni,am,40.2566667,44.585,1231
ranchpar,am,40.0252778,44.3702778,989
rind,am,39.7597222,45.18,1368
samaghar,am,40.1852778,44.2422222,2343
saramech,am,40.7725,44.2191667,1111
saratak,am,40.67,43.8663889,1115
sarigyukh,am,41.0563889,45.1458333,1096
sarukhan,am,40.2891667,45.1341667,6173
sasunik,am,40.2472222,44.3380556,1959
sevan,am,40.555,44.9536111,17083
shaghat,am,39.5616667,45.9122222,1011
shahumyan,am,39.9308333,44.5783333,3905
shahumyan,am,40.7883333,44.5316667,1843
shatin,am,39.8333333,45.3016667,1671
shenavan,am,40.4861111,44.3825,1587
shenavan,am,40.05,43.9333333,1757
shinuhayr,am,39.4341667,46.3155556,2206
shirakamut,am,40.8605556,44.1527778,2008
shirak,am,40.8480556,43.9213889,1007
shnogh,am,41.1477778,44.8377778,2872
sisavan,am,39.9,44.6666667,1793
sisian,am,39.4627778,45.9730556,15208
sis,am,40.0586111,44.3863889,1135
solak,am,40.4636111,44.7086111,2295
sovetakan,am,40.1133333,44.0552778,1613
spandaryan,am,40.665,44.0188889,1226
spitak,am,40.7955556,44.2783333,15063
surenavan,am,39.75,44.8,2241
talin,am,40.3369444,43.8588889,4945
tandzut,am,40.0772222,44.0886111,1816
taronik,am,40.1330556,44.1991667,1874
tashir,am,41.1244444,44.2819444,7318
tazagyukh,am,40.1416667,45.1913889,2248
tegh,am,39.5547222,46.4758333,2120
tsaghkaber,am,40.7986111,44.1072222,1207
tsaghkadzor,am,40.5386111,44.7113889,1408
tsaghkahovit,am,40.6361111,44.2230556,1551
tsiatsan,am,40.1869444,44.2666667,1050
tsovagyugh,am,40.6330556,44.9522222,3857
tsovak,am,40.1819444,45.635,2531
tsovazard,am,40.4769444,45.0375,1949
tsovinar,am,40.1608333,45.4538889,3968
